truth_table,bias,algebraic_degree,input_symmetries,influence_0,influence_1,influence_2,fourier_energy_degree_0,fourier_energy_degree_1,fourier_energy_degree_2,fourier_energy_degree_3,semantic_pc1,semantic_pc2
202,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
203,0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
204,0.0,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.836083254445181,-1.7917620097027362
205,0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
206,0.25,3,1,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.3451310559647929,-1.2309940871208531
207,0.5,2,1,0.0,0.5,0.5,0.25,0.5,0.25,0.0,-1.7144090271551857,-0.6117000410450731
208,-0.25,3,1,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.3451310559647929,-1.2309940871208531
209,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
210,0.0,2,1,0.5,0.5,1.0,0.0,0.25,0.5,0.25,1.6765272615636526,-0.5985960267336816
211,0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
212,0.0,2,2,0.5,0.5,0.5,0.0,0.75,0.0,0.25,-0.707987394263603,0.6214545677007401
213,0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
214,0.25,3,2,0.75,0.75,0.75,0.0625,0.1875,0.1875,0.5625,2.4181445690211603,1.8761877039961212
215,0.5,2,2,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-0.03134528426902256,1.561195304898453
216,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
217,0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
218,0.25,3,2,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4179568608234154,-0.735468594490213
219,0.5,2,2,0.5,0.5,0.5,0.25,0.0,0.75,0.0,0.6554272280448865,0.6788045150866956
220,0.25,3,1,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.3451310559647929,-1.2309940871208531
221,0.5,2,1,0.0,0.5,0.5,0.25,0.5,0.25,0.0,-1.7144090271551857,-0.6117000410450731
222,0.5,2,2,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-0.03134528426902256,1.561195304898453
223,0.75,3,2,0.25,0.25,0.25,0.5625,0.1875,0.1875,0.0625,-2.3763614918028875,1.8685379817089944
224,-0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
225,0.0,2,2,0.5,0.5,1.0,0.0,0.25,0.5,0.25,1.6726307839381622,-0.15496618946473198
226,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
227,0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
228,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
229,0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
230,0.25,3,2,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4179568608234154,-0.735468594490213
231,0.5,2,2,0.5,0.5,0.5,0.25,0.0,0.75,0.0,0.6554272280448865,0.6788045150866956
232,0.0,2,6,0.5,0.5,0.5,0.0,0.75,0.0,0.25,-0.7235733047655643,2.395973916776539
233,0.25,3,6,0.75,0.75,0.75,0.0625,0.1875,0.1875,0.5625,2.402558658519199,3.65070705307192
234,0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
235,0.5,2,2,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-0.03134528426902256,1.561195304898453
236,0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
237,0.5,2,2,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-0.03134528426902256,1.561195304898453
238,0.5,2,2,0.0,0.5,0.5,0.25,0.5,0.25,0.0,-1.718305504780676,-0.1680702037761235
239,0.75,3,2,0.25,0.25,0.25,0.5625,0.1875,0.1875,0.0625,-2.3763614918028875,1.8685379817089944
240,0.0,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.836083254445181,-1.7917620097027362
241,0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
