project,name,statement_density,control_density,difference,match_distance
ten-proofs,elementaryThreeTransvection_smul_other,0.68475944,0.7255571,-0.04079765,0.0
ten-proofs,elementaryThreeCoordinateRotation_smul_left,0.6835538,0.7980833,-0.11452949,0.0
ten-proofs,mennickeBlock_rotation_conjugate,0.66952604,0.6996179,-0.030091882,0.08722332573117887
ten-proofs,valuation_dvd_total,0.7307559,0.7907375,-0.059981585,0.07454717160674575
ten-proofs,shiftedLeadingCancellationQuotient_ne_zero,0.74549246,0.70508206,0.0404104,0.0
ten-proofs,stabilizedTwoByTwo_mem_elementaryThree_of_topLeft_isUnit,0.61574614,0.73156357,-0.11581743,0.5281097597078422
ten-proofs,mennickeBlock_X_constant_shear_mul,0.64653814,0.75878423,-0.112246096,0.16025685690071106
ten-proofs,mennickeBlock_mem_of_topLeft_X_pow,0.6546461,0.70890355,-0.054257452,0.09137800584015818
ten-proofs,suslin_stabilized_signedSwap_mem,0.70842123,0.7721264,-0.06370515,0.0
ten-proofs,suslin_mul_signedSwap_zero_one,0.72950524,0.74726135,-0.017756104,0.0
ten-proofs,suslin_mul_signedSwap_one_zero,0.72621626,0.74726135,-0.021045089,0.0
ten-proofs,suslinSignedSwap_conjugate_one_zero,0.70164096,0.7209961,-0.019355118,0.01737293947176273
ten-proofs,suslin_uniformizer_mennickeBlock_mem_elementary,0.5864548,0.6897185,-0.103263676,0.22971672816056313
ten-proofs,mennickeBlock_constant_mem_of_uniformizer_case,0.60530734,0.73156357,-0.12625623,1.4581328545561278
ten-proofs,mennicke_ascent_row_det,0.65415394,0.6834385,-0.029284537,0.07617516673024008
ten-proofs,mennicke_ascent_monic_det,0.703709,0.6834385,0.020270526,0.0948102576769295
ten-proofs,mennicke_transport_of_valuationPrimitiveAscentChain,0.6029109,0.6573954,-0.054484546,1.5831710340469585
ten-proofs,mennickeBlock_mul_columnSubtract,0.65993565,0.75878423,-0.09884858,0.012283369772922133
ten-proofs,elementaryThree_second_add_third,0.6510569,0.6586042,-0.007547319,0.17954933344713267
